Spider-Man (Peter Parker)
Alexander Power (Earth-616)
Matthew Hawk (Earth-616)
Jessica Jones (Earth-616)
Frederick Dukes (Earth-616)
Eric Brooks (Earth-616)
Eros (Earth-616)
Madison Jeffries (Earth-616)
Mandarin (Earth-616)
The Wizard (Earth-616)
Akihiro (Earth-616)
Sergei Kravinoff (Earth-616)
Jonothon Starsmore (Earth-616)
Helmut Zemo (Earth-616)
Victor Borkowski (Earth-616)
Edward Leeds (Earth-616)
Ultron (Earth-616)
Douglas Ramsey (Earth-616)
Quentin Beck (Earth-616)
Herbert Wyndham (Earth-616)
Julian Keller (Earth-616)
Jack Russell (Earth-616)
Celeste Cuckoo (Earth-616)
Valentina Allegra de Fontaine (Earth-616)
Ophelia Sarkissian (Earth-616)
Colleen Wing (Earth-616)
Irma Cuckoo (Earth-616)
Sebastian Shaw (Earth-616)
Phoebe Cuckoo (Earth-616)
Sage (Earth-616)
Valeria Richards (Earth-616)
Donald Blake (Earth-616)
Hela (Earth-616)
Lilandra Neramani (Earth-616)
Henry Gyrich (Earth-616)
Dwayne Taylor (Earth-616)
Harold Hogan (Earth-616)
Redwing (Earth-616)
Christopher Powell (Earth-616)
Harvey Elder (Earth-616)
Wolfgang von Strucker (Earth-616)
Dirk Garthwaite (Earth-616)
Pip Gofern (Earth-616)
Tony Masters (Earth-616)
David Lieberman (Earth-616)
James Hudson (Earth-616)
Miles Warren (Earth-616)
Kallark (Earth-616)
En Sabah Nur (Earth-616)
Shiro Yoshida (Earth-616)
Silver Sablinova (Earth-616)
Elvin Haliday (Earth-616)
James Bradley (Earth-616)
Calvin Zabo (Earth-616)
Frederick Myers (Earth-616)
Mantis (Earth-616)
Marlene Alraune (Earth-616)
Rachel Leighton (Earth-616)
Veranke (Earth-616)
Nathaniel Essex (Earth-616)
Anthony Druid (Earth-616)
Cassandra Lang (Earth-616)
Beta Ray Bill (Earth-616)
Samuel Sterns (Earth-616)
Leech (Earth-616)
Glenn Talbot (Earth-616)
Bug (Earth-616)
Peter Petruski (Earth-616)
Julie Power (Earth-616)
Giuletta Nefaria (Earth-616)
Robert Ralston (Earth-616)
Maximus (Earth-616)
Genis-Vell (Earth-616)
Hisako Ichiki (Earth-616)
Dmitri Smerdyakov (Earth-616)
Eliot Franklin (Thunderball) (Earth-616)
X-51 (Earth-616)
Madelyne Pryor (Earth-616)
Adolf Hitler (Earth-616)
Herman Schultz (Earth-616)
Noriko Ashida (Earth-616)
Chen Lu (Earth-616)
Ulysses Klaw (Earth-616)
Cessily Kincaid (Earth-616)
Kyle Gibney (Earth-616)
Jack Monroe (Earth-616)
Madeline Joyce (Earth-616)
George Tarleton (Earth-616)
Jocasta (Earth-616)
Peter Wisdom (Earth-616)
